Subject_ID,Subject
1,abilities
2,activism
3,adult
4,adventure
5,age
6,alcohol
7,beatles
8,belief
9,books
10,change
11,character
12,children
13,chocolate
14,choices
15,christianity
16,classic
17,comedy
18,courage
19,death
20,determination
21,dream
22,drug
23,dumbledore
24,education
25,empathy
26,evil
27,failure
28,faith
29,fantasy
30,fate
31,fear
32,food
33,friends
34,genius
35,girls
36,god
37,good
38,greatness
39,happiness
40,hate
41,hope
42,humor
43,imagination
44,imperfection
45,indifference
46,inspirational
47,integrity
48,justice
49,knowledge
50,learning
51,library
52,lies
53,life
54,lost
55,love
56,marriage
57,mind
58,miracles
59,mistakes
60,music
61,navigation
62,obvious
63,open-mind
64,opposites
65,peace
66,people
67,philosophy
68,planning
69,poetry
70,reading
71,reality
72,regrets
73,religion
74,romance
75,seuss
76,simile
77,simplicity
78,stupidity
79,success
80,tea
81,thought
82,travel
83,troubles
84,trust
85,truth
86,understand
87,value
88,wander
89,wisdom
90,woman
91,world
92,writing
93,yourself
